x y z sxx syy szz sxy sxz syz pp
1301.79 882.524 1745.78 -191380 -503690 -546062 -48824.7 -19326.2 -17070.8 0
1303.63 882.757 1749.45 -906596 -1.02719e+06 -1.23644e+06 -120476 57561.8 50795.7 222739
1302.29 887.318 1748.29 -875033 -877573 -916397 -27026 112432 115312 223460
1302.87 882.749 1748.94 -760150 -919926 -959730 -109449 100972 62854.7 223726
1301.6 883.904 1747.67 -220739 -355742 -176745 -66188.6 167725 25815 0
1301.45 883.558 1746.42 -58526.5 -387487 -318509 -87426.2 -1922.05 14728.9 0
1301.37 886.735 1745.69 -144899 -201133 -121613 -52251.4 -101260 -36646.8 0
1300.53 885.243 1749.09 -1.33397e+06 -891692 -646046 -5530.74 -142572 22398.2 0
1306.12 887.031 1746.52 -1.1037e+06 -1.25473e+06 -1.75145e+06 -128628 -413106 65616.8 261618
1304.2 886.55 1748.44 -680742 -934987 -1.11483e+06 -74848.2 -16702.9 88252.7 232765
1301.98 886.667 1747.94 -799210 -789413 -811274 -23645.1 102288 85709.6 169581
1307.05 882.257 1745.91 -1.16068e+06 -1.10805e+06 -1.70833e+06 -117863 -452180 66279.8 276252
1302.89 885.065 1747.91 -619029 -878822 -864468 -73118.2 80681.8 58859.5 232140
1301.48 886.395 1745.6 -569262 -790549 -841005 -57857.7 -313065 38733.2 0
1300.99 886.975 1749.06 -921052 -605634 -403486 -87845.9 -26840.1 5104.95 0
1303.42 884.187 1747.7 -571398 -913112 -1.06251e+06 -83934.4 19140.2 65368.3 237714
1302.38 886.591 1746.65 -424286 -798804 -1.01418e+06 -64504.2 -104459 62903.8 240555
1300.46 882.43 1749.43 -831412 -566922 -422916 -22982.5 -188107 3447.03 0
1302.54 887.163 1748.52 -609736 -741399 -624776 -47131.8 27266.1 91045.7 222658
1301.82 885.194 1746.07 -241589 -660482 -780159 -66680.8 -194519 45434.1 0
1301.38 885.359 1746.46 12298.6 -228846 -174536 -57928.4 42955.9 8014.12 0
1301.79 887.918 1748.39 -652198 -588876 -361773 -25392.5 22009.3 89740.9 110078
1301.06 887.573 1748.55 -3928 -122744 -167713 -37886.5 -9669.15 46065.1 0
1301.73 884.387 1747.32 -260599 -662118 -506672 -55305.8 136561 92988.4 0
1301.24 886.147 1748.14 -1.2167e+06 -956028 -638121 -61709.2 366217 56445.5 0
1301.79 885.301 1746 -216893 -578956 -701961 -57894.2 -184607 53102.8 0
1305.19 885.067 1748.3 -737157 -1.01897e+06 -1.3181e+06 -109294 -117766 69387.1 240660
1301.11 884.993 1748.99 -632248 -520995 -193943 -57261.3 -15980.8 -16023 0
1301.51 885.756 1746.54 12408.1 -241054 -242912 -51284.8 42816.1 1771.57 0
1301.34 882.664 1747.7 -707487 -850227 -507693 -78735.1 365956 2515.09 0
1301.97 887.002 1746.51 -256412 -629566 -681367 -56403.3 -99967.1 60654.7 120373
1300.68 883.853 1749.09 -1.26248e+06 -874911 -547020 18800.7 -188256 26106.9 0
1301.15 886.589 1748.91 -1.05888e+06 -786192 -403565 -348.278 7799.24 25687 0
1300.62 885.223 1749.1 -915212 -611255 -401061 -46149.7 -114805 -3235.25 0
1304.68 886.6 1745.53 -1.37243e+06 -1.47503e+06 -2.05542e+06 -139555 -544885 40026.8 263857
1301.63 882.936 1746.67 -148285 -614681 -687508 -75308.5 -5533.89 54042.3 0
1301.49 886.338 1748.19 -891502 -702578 -403495 -77281.4 197959 70196.2 0
1304.88 887.097 1748.8 -826848 -1.06083e+06 -1.40009e+06 -92997.7 -54533.5 77672.1 232436
1300.94 887.075 1748.53 -1.39538e+06 -1.09603e+06 -754487 -46473 209157 29418.2 0
1301.98 884.414 1746.95 -299061 -778871 -916764 -109502 -24544.8 42519.6 119084
1301.52 885.65 1746.58 -102215 -566507 -490386 -43502.4 -41786.5 46893.3 0
1300.32 887.62 1749.49 -695220 -429082 -533517 -72954.4 -76085 22977 0
1311.38 882.121 1747.84 -1.28067e+06 -1.25468e+06 -1.63044e+06 -130294 -383947 90073.4 280671
1301.31 884.416 1747.69 -897064 -970448 -665842 -34202.6 435099 8677.69 0
1300.92 885.531 1749 -1.21801e+06 -717960 -431773 -25473.6 -91165.7 16473.9 0
1301.17 884.941 1748.9 -1.06639e+06 -825919 -340221 -3720.1 -68815.2 25972.8 0
1301.4 886.822 1749.3 -743561 -539273 -340813 -22471.6 -59277.3 56597.9 104542
1302.24 882.02 1747.19 -395451 -750792 -851853 -96356.1 41998.7 38799.4 238033
1304.23 882.322 1747.79 -655154 -1.00269e+06 -1.27145e+06 -160494 -85016.1 27403.8 242612
1301.45 887.462 1746.68 -167586 -493535 -429178 -9392.73 -42215.4 -16466.6 0
1304.64 882.9 1749.15 -713225 -934823 -1.09959e+06 -138873 -10753.5 60934.5 231025
1302.32 882.776 1747.25 -364927 -757850 -845645 -112787 21957.4 42816.5 237249
1302.46 884.199 1748.05 -554810 -768214 -721234 -79838.9 110456 74305.1 229158
1301.11 884.45 1749.33 -869462 -665171 -284332 -26388.9 -118625 50603.3 0
1306.81 885.05 1747.56 -1.07792e+06 -1.22679e+06 -1.65827e+06 -172730 -369539 43272.9 256561
1301.1 887.108 1748.5 -22508.8 -132684 -133593 -27825.9 18989.2 52648.9 0
1301.66 883.606 1747.32 -182319 -566102 -441418 -116141 138752 17390.5 0
1301.88 884.599 1745.55 -421076 -732329 -782493 -82634.1 -293462 28928.5 62388.5
