x y z fx fy fz
1299.07 880.919 1750.08 -4635.15 -187.367 1037.67
1298.24 909.409 1749.08 -937.925 -1117.19 7099.32
1300.27 899.041 1747.27 -999.993 -3381.02 12815.4
1298.12 874.022 1749.82 13104.2 -3146.74 2110.75
1298.83 907.104 1747.84 -487.067 2080.21 5925.24
1295.95 906.356 1751 -7163.37 -255.409 391.507
1297.22 866.906 1749.56 565.13 -5182.11 1564.64
1295.92 872.683 1748.15 3617.33 989.114 4173.48
1300.78 894.959 1746.38 -1039.8 3456.72 9996.51
1295.97 893.186 1746.65 22397.4 -4156.82 -2011.96
1294.68 903.466 1745.56 -29359.6 -7310.2 -2081.23
1299.6 889.653 1750.24 8859.09 7569.94 -1303.31
1293.91 909.753 1750.53 -1043.47 156.743 1503.96
