x y z nx ny nz state
1293.94 906.452 1748.35 0.382895 -0.896974 0.220972 1
1301.19 881.643 1746.35 -0.788858 0.258531 -0.557552 1
1301.1 881.79 1748.34 0.975551 -0.216741 0.0363903 1
1300.97 891.348 1748.27 -0.699527 -0.375787 -0.60782 1
1300.98 891.374 1748.33 -0.20073 0.273557 0.940677 1
1300.97 891.387 1748.28 -0.672476 0.617079 -0.408643 1
1301.17 879.093 1747.24 -0.0257045 -0.946696 -0.321102 1
1301.18 879.147 1747.22 0.0762697 0.359472 -0.930034 1
1301.26 886.565 1745.78 -0.0854979 0.0634038 -0.994319 1
1301.22 886.572 1745.84 -0.936281 0.225627 0.269204 1
1301.26 886.604 1745.84 0.0248308 0.969479 0.243915 1
1299.75 865.87 1746.79 0.947025 -0.320298 0.0235249 1
1301.22 883.698 1748.12 -0.353954 0.844999 -0.400865 1
1301.24 883.632 1748.12 0.0913338 -0.908933 -0.406815 1
1300.23 871.475 1748.33 -0.358427 -0.406747 -0.84029 1
1301.09 883.14 1748.59 -0.435366 -0.679059 0.591046 1
1300.64 894.236 1748.87 0.696353 -0.0988693 -0.710857 1
1301.26 882.144 1746.61 0.424774 0.905264 0.00803994 1
1300.81 893.839 1748.04 0.0968169 -0.853149 -0.512605 1
1300.81 893.839 1748.09 0.0439229 -0.862546 0.504068 1
1300.66 895.139 1748.13 0.823526 0.561625 -0.07989 1
1301.1 887.004 1748.07 0.867487 -0.00375496 -0.497445 1
1301.1 885.286 1748.34 0.429099 0.371851 0.823165 1
1300.51 896.782 1747.87 -0.137503 0.976267 -0.167322 1
1300.33 880.716 1749.31 0.323264 -0.2358 0.91646 1
1300.28 880.713 1749.27 -0.912506 -0.319399 -0.255572 1
1300.35 880.732 1749.27 0.955594 0.209022 -0.207724 1
1296.05 893.197 1746.52 -0.984959 -0.0477198 0.166067 1
1301.2 881.458 1748.07 -0.177874 0.831934 0.525591 1
1301.2 881.429 1748.01 -0.019312 0.154172 -0.987855 1
1300.52 896.445 1748.53 0.109261 -0.455726 -0.883389 1
1300.92 892.309 1747.68 0.691024 -0.3582 -0.627837 1
1300.88 892.354 1747.72 -0.338333 0.841988 0.420223 1
1301.09 877.181 1745.58 -0.0496947 -0.943127 0.328697 1
1301.09 877.252 1745.59 0.0737443 0.770562 0.633085 1
1301.14 886.708 1747.82 0.938558 -0.0284458 -0.343946 1
1301.24 881.769 1746.34 0.79679 -0.600681 -0.0656379 1
1301.25 885.38 1746.64 -0.848327 -0.507884 -0.149652 1
1301.25 885.415 1746.62 -0.734956 0.414824 -0.536433 1
1300.7 882.543 1749.18 -0.904745 0.0327987 -0.424689 1
1300.74 882.532 1749.16 0.24229 -0.261544 -0.934286 1
1299.73 901.997 1748.03 0.996251 -0.00952043 -0.085981 1
1300.17 869.046 1747.75 0.799288 -0.59789 -0.0605491 1
1300.14 869.088 1747.79 0.100547 0.419295 0.902265 1
1300.05 896.76 1749.17 -0.797588 -0.337695 -0.499815 1
1300.06 896.787 1749.22 -0.493348 0.37301 0.785793 1
1300.11 896.77 1749.21 0.876159 -0.0727525 0.4765 1
1300.07 896.745 1749.21 -0.304197 -0.765442 0.567064 1
1300.65 894.697 1748.58 -0.769397 -0.464773 -0.438195 1
1295.89 895.047 1747.24 0.0551026 -0.806282 -0.58896 1
1295.85 895.093 1747.26 -0.91459 0.403532 0.0261997 1
1295.91 895.105 1747.27 0.638407 0.726779 0.253433 1
1300.23 899.048 1747.3 -0.108749 0.334756 0.936009 1
1300.27 898.745 1746.02 0.527616 -0.66331 0.530699 1
1300.12 867.958 1745.88 -0.108657 -0.748218 0.654495 1
1300.13 868.029 1745.85 0.170214 0.977566 -0.124062 1
1295.34 901.253 1745.79 -0.722634 -0.690193 0.0378646 1
1301.23 887.073 1746.86 -0.0707704 0.947696 0.311228 1
1300.39 869.945 1746.73 0.049424 0.882705 -0.467322 1
1300.35 869.912 1746.76 -0.945565 0.0644899 0.318979 1
1296.13 892.705 1746.99 0.436747 0.0970361 -0.894335 1
1296.1 892.742 1747.02 -0.212614 0.976665 0.0303473 1
1296.12 892.669 1747.05 0.238463 -0.78544 0.571156 1
1296.08 892.715 1747.04 -0.870309 0.33921 0.357071 1
1300.04 867.389 1745.86 0.0976153 0.627623 -0.772373 1
1300.84 892.34 1747.2 -0.559358 0.594768 -0.577381 1
1300.18 898.394 1747.84 0.0260154 -0.275467 0.960958 1
1300.59 871.837 1746.97 -0.470515 0.685232 0.555943 1
1295.79 868.611 1748.24 -0.360203 0.363238 -0.859251 1
1300.05 882.059 1749.57 0.891181 -0.33174 -0.309428 1
1294.21 905.554 1746.09 -0.923709 -0.229693 -0.306599 1
1301.25 881.081 1746.5 -0.0565186 0.971423 -0.230527 1
1301.25 881.038 1746.47 -0.0116627 -0.22562 -0.974146 1
1295.71 869.154 1748.33 -0.55905 -0.386707 0.733431 1
1301.05 877.246 1746.3 0.914868 -0.366722 0.168914 1
1301.28 882.884 1746.95 0.0895107 0.457744 0.884567 1
1294.47 904.955 1749.44 -0.829183 -0.191587 0.525118 1
1296.56 884.208 1747.38 0.405664 0.0229763 -0.913734 1
1300.69 895.415 1746.08 -0.0446771 0.655931 0.753497 1
1300.21 876.359 1749.26 0.694201 0.29566 -0.656255 1
1300.99 877.249 1747.99 -0.722866 -0.478699 0.49831 1
1300.26 882.273 1749.6 0.607681 -0.794175 -0.00317817 1
1301.1 877.416 1745.96 0.0444208 -0.17754 -0.983111 1
1295.43 898.459 1747.18 0.812802 0.563017 -0.149549 1
1301.06 890.43 1747.09 0.705133 -0.605657 -0.368738 1
1300.49 896.677 1748.05 -0.840736 -0.360414 0.40406 1
1301.21 881.444 1747.8 0.859646 0.275361 0.430331 1
1301.24 882.823 1746.73 -0.78578 -0.517463 0.338794 1
1300.24 899.04 1746.69 0.298375 -0.828654 -0.473608 1
1300.69 895.467 1746.13 0.150317 -0.704986 -0.693108 1
1300.87 893.578 1745.4 -0.370952 -0.206101 0.905493 1
1299.29 870.44 1749.02 -0.0920976 -0.406257 -0.909106 1
1301.02 887.709 1747.6 0.305097 -0.119679 0.944771 1
1293.87 907.038 1745.94 -0.42306 -0.241143 0.873424 1
1299.07 862.031 1746.53 0.0278264 0.000137311 -0.999613 1
1300.87 892.748 1747.72 -0.951393 0.1632 0.261183 1
1295.26 868.259 1746.55 -0.550163 0.828579 -0.103813 1
1301.14 882.612 1748.37 0.419505 -0.66563 0.617214 1
1295.95 895.479 1745.34 0.0621097 -0.818495 0.571146 1
1299.35 863.695 1747.33 -0.594572 -0.771715 -0.225699 1
1300.28 882.204 1749.61 0.0251474 0.990397 -0.135948 1
1300.93 878.715 1748.46 0.740533 -0.406835 0.534879 1
