x z szz sxx pp state
1259.57 1798.9 81114.4 -62505 0 8
1263.94 1799.29 86603.2 -79236.1 0 8
1259.46 1798.01 79312 -69892.4 0 8
1260.26 1794.24 -12648.7 -29135.9 0 8
1259.23 1779.35 -335322 -193849 0 0
1251.49 1794.37 -67380.6 13607 0 8
1312.05 1799.09 1570.72 -95871.2 0 8
1332.53 1799.15 -217215 -172804 0 0
1286.26 1779.36 -393719 -298687 0 0
1291.36 1783.35 -285033 -270883 0 0
1313.03 1783.87 -368113 -321337 0 4
1250.5 1780.56 -197347 -78296 0 4
1306.52 1784.4 -306924 -298937 0 4
1314.94 1797.1 -37144 -130871 0 0
1260.67 1785.28 -196077 -94607.3 0 0
1251.82 1783.88 -186248 -57405.9 0 4
1275.55 1778.73 -386653 -276363 0 0
1339.97 1782.45 -709543 -362756 0 4
1292.3 1782.88 -298156 -278648 0 0
1254.55 1795.18 -23491.3 1269.3 0 8
1306.25 1780.17 -397692 -342202 0 4
1263.18 1779.34 -350852 -208102 0 4
1262.32 1778.66 -351698 -213828 0 4
1254.75 1783.53 -196535 -88903.2 0 0
1269.03 1784.34 -233930 -157406 0 0
1300.36 1798.75 37780.6 -107634 0 8
1298.14 1784.03 -253268 -274015 0 0
1306.86 1780.83 -392190 -340918 0 4
1266.48 1779.21 -344982 -221426 0 0
1349.11 1791.25 -737754 -311955 0 4
1286.56 1784.48 -261099 -243841 0 0
1267.34 1778.59 -358674 -239599 0 0
1340.63 1799.12 -369222 -235783 0 0
1269.57 1779.35 -370384 -246344 0 0
1313.24 1780.3 -439037 -354987 0 0
1300.15 1779.91 -367050 -327289 0 4
1334.85 1783.33 -645875 -370561 0 4
1297.9 1779.56 -360012 -323720 0 4
1319.7 1780.75 -496147 -367585 0 0
1272.98 1778.92 -381391 -270325 0 0
1253.39 1778.81 -269694 -91843.4 0 4
1252.39 1777.65 -273563 -74397.7 0 0
1271.08 1780.21 -336986 -231344 0 0
1254.74 1778.34 -323632 -156623 0 4
1324.26 1799.04 -105607 -127479 0 0
1331.21 1781.26 -623552 -386964 0 0
1294.14 1779.6 -373185 -312972 0 4
1267.99 1799.22 87410.7 -71792.7 0 8
1290.87 1780.29 -362406 -294981 0 0
1257.46 1797.2 60409.7 -53161.1 0 8
1250.83 1787.07 -175484 -54402.8 0 12
1333.45 1782.41 -636345 -376238 0 0
1255.47 1799.18 72052.2 -39657.9 0 8
1312.05 1799.09 2997.96 -94066.6 0 8
1287.27 1788.07 -182108 -211194 0 0
1307.87 1779.97 -410978 -351585 0 4
1333.07 1781.35 -633899 -375945 0 4
1343.67 1799.12 -409316 -254809 0 0
1288.96 1779.6 -380099 -301548 0 0
1345.46 1795.33 -613623 -316105 0 4
1349.26 1797.53 -666576 -281714 0 4
1250.99 1783.27 -182005 -71267.6 0 0
1338.17 1781.58 -708870 -384610 0 4
1271.98 1799.16 87545.2 -80022.7 0 8
