x z szz sxx pp state
858.218 1671.83 -627143 -517412 0 0
962.475 1694.82 -817848 -611395 0 0
983.631 1685.82 -1.00916e+06 -712107 0 0
1092.91 1721.02 -694539 -486342 0 0
1199.3 1751.3 -426150 -291465 0 0
584.671 1705.74 -139020 -180424 0 0
907.294 1683.2 -676724 -516312 0 0
657.123 1682.86 -552684 -445005 0 0
1138.55 1724.17 -886167 -606482 0 0
1337.33 1834.9 -70791.8 -18470.6 0 0
629.07 1687.66 -564949 -461463 0 0
1060.92 1697.04 -1.04813e+06 -717733 0 0
782.813 1684.75 -148461 -285856 0 0
714.864 1669.89 -540235 -490277 0 0
776.242 1681.76 -149897 -287865 0 0
931.081 1690.36 -721528 -532979 0 0
777.781 1687.45 -142424 -278087 0 0
996.229 1689.7 -958521 -668092 0 0
867.674 1695.05 -351087 -341628 0 0
1043.2 1695.32 -1.0502e+06 -721220 0 0
1194.91 1750.47 -444143 -304994 0 0
906.172 1688.84 -687518 -516646 0 0
1003.73 1710.6 -644946 -467446 0 0
978.419 1688.07 -936231 -660367 0 0
723.78 1670.09 -511133 -468481 0 0
899.209 1678.94 -815957 -611244 0 0
1193.51 1765.95 -78270.4 -121269 0 0
1103.48 1711.72 -1.01437e+06 -688629 0 0
1196.33 1767.75 -86721.6 -137320 0 0
1186.31 1740.29 -537566 -393306 0 0
1110.28 1730.77 -674820 -440404 0 0
604.382 1706.43 -140460 -163421 0 0
922.104 1695.94 -465864 -407609 0 0
897.06 1697.42 -287640 -280756 0 0
1038 1699.53 -987939 -683415 0 0
978.63 1699.31 -657262 -491700 0 0
894.446 1674.53 -779486 -593781 0 0
1032.19 1718.23 -493117 -370302 0 0
587.828 1707.83 -131897 -177243 0 0
1002.32 1717.71 -425882 -344213 0 0
914.176 1682.22 -865153 -635249 0 0
645.851 1696.01 -290821 -257606 0 0
923.658 1682.54 -880240 -643310 0 0
638.806 1701.1 -182524 -167658 0 0
1098.02 1713.56 -961257 -642529 0 0
889.604 1682.84 -623256 -486145 0 0
728.323 1674.57 -509494 -477346 0 0
1181.1 1742.93 -591459 -408663 0 0
1037.84 1697.06 -1.07333e+06 -745750 0 0
1294.25 1807.61 -87539.4 -56274.9 0 0
993.965 1700.98 -754881 -545386 0 0
903.923 1674.98 -806086 -610885 0 0
1030.08 1692.05 -1.07075e+06 -741236 0 0
653.121 1682.64 -627066 -505308 0 0
646.844 1691.61 -467175 -375870 0 0
991.402 1702.79 -648396 -498304 0 0
1121.1 1746.58 -262457 -191694 0 0
879.233 1676.46 -738572 -574084 0 0
1262.33 1793.21 -74925.9 -49971.5 0 0
1149.46 1746.23 -397971 -272548 0 0
1033.02 1700.58 -921519 -630619 0 0
662.102 1689.47 -479907 -393750 0 0
1013.19 1725.68 -298289 -235302 0 0
1199.74 1749.7 -480808 -321940 0 0
1112.14 1713.8 -994309 -671959 0 0
1088.22 1727.66 -637364 -445311 0 0
682.672 1675.15 -619495 -515194 0 0
1141.94 1739.52 -567889 -396533 0 0
718.202 1671.61 -533150 -486587 0 0
885.549 1698.63 -278282 -277141 0 0
1088.18 1737.12 -411221 -297188 0 0
1192.15 1761.67 -116490 -157851 0 0
925.309 1709.46 -322980 -295978 0 0
1109.85 1740.19 -361898 -261978 0 0
1097.88 1740.07 -376177 -273982 0 0
701.092 1675.49 -589074 -506631 0 0
875.102 1701.12 -255463 -256940 0 0
999.917 1712.11 -518230 -417898 0 0
634.068 1687.2 -587617 -480719 0 0
1089.89 1708.65 -1.05071e+06 -711490 0 0
1189.69 1743.96 -540820 -373161 0 0
972.156 1705.49 -457657 -404791 0 0
1200.63 1747.53 -470375 -344360 0 0
947.797 1707.89 -319426 -305466 0 0
862.654 1691.93 -226151 -263891 0 0
677.471 1696.06 -214776 -215183 0 0
1103.69 1747.76 -275086 -204210 0 0
1164.41 1730.21 -700636 -489059 0 0
969.765 1685 -991705 -696908 0 0
918.936 1712.95 -171084 -191486 0 0
1146.79 1758.34 -147152 -114216 0 0
1005.74 1688.27 -1.03919e+06 -718514 0 0
1319.32 1821.41 -84523.7 -36581 0 0
944.088 1705.77 -480022 -408249 0 0
1123.77 1754.77 -108094 -84077.8 0 0
898.745 1703.39 -293811 -276988 0 0
1028.94 1705.09 -807816 -565504 0 0
1205.89 1754 -455877 -300799 0 0
911.32 1695.39 -450876 -392573 0 0
1033.52 1697.3 -1.06673e+06 -741339 0 0
1197.25 1744.8 -481883 -352908 0 0
952.08 1713.85 -335920 -306945 0 0
959.001 1700.66 -482012 -378649 0 0
853.261 1672.53 -607541 -501587 0 0
1008.07 1733.99 -151152 -129996 0 0
987.859 1685.43 -1.01317e+06 -713275 0 0
968.063 1710.58 -451692 -371490 0 0
1013.9 1700.53 -764711 -534453 0 0
1108.43 1713.4 -1.00789e+06 -681132 0 0
1192.21 1745.88 -527465 -361492 0 0
