x z
1298.25 1749.95
1298.19 1749.85
1296.46 1746.43
1296.63 1748.49
1301.27 1747.19
1299.52 1749.9
1301.04 1748.58
1301.06 1746.95
1296.42 1745.25
1301.17 1747.07
1300.6 1749.45
1296.63 1745.41
1296.58 1746.15
1296.4 1747.52
1300.26 1749.6
1296.52 1746.12
1296.47 1747.82
1301.12 1747.67
1301.28 1746.43
1296.4 1747.42
1296.51 1746.11
1297.29 1749.41
1300.81 1748.9
1301.28 1746.94
1297.55 1749.53
1301.01 1746.74
1296.79 1745.1
1297.65 1749.77
1301.08 1748.18
1296.68 1744.92
1301.03 1748.26
1296.62 1746.53
1301.09 1746.84
1299.77 1750.01
1300.44 1749.61
1300.76 1748.88
1299.38 1750.01
1301.3 1745.03
1296.4 1747.69
1300.39 1749.36
1301.29 1746.1
1301.24 1747.79
1297.65 1749.72
1300.77 1749.11
1300.66 1749.06
1300.86 1748.74
1296.49 1745.92
1296.54 1746.1
1297.9 1749.93
1296.43 1745.42
1297.71 1749.86
1296.41 1747.15
1300.94 1748.67
1296.68 1746.52
1296.87 1748.74
1301.24 1745.76
1300.12 1749.75
1297.03 1749.4
1296.54 1745.52
1301.06 1748.04
1297.71 1749.63
1296.57 1746.66
1296.5 1745.33
1301.27 1747.6
1296.65 1748.77
1297.76 1749.8
1296.56 1747.44
1300.48 1749.36
1300.64 1749.08
1296.91 1749.28
1300.71 1749.05
1300.02 1749.67
1301.02 1748.21
1301.18 1747.99
1296.78 1748.7
1301.24 1747.4
1300.87 1745.24
1300.87 1748.62
1301.24 1746.82
1298.26 1749.98
1301 1747.05
1301 1746.98
1296.62 1745.7
1301.08 1747.47
1301.29 1745.72
1301.27 1747.06
1301.13 1746.4
1296.4 1747.42
1296.56 1747.8
1299.18 1750.18
1296.81 1748.77
1300.63 1749.41
1301.12 1747.27
1296.62 1745.73
1300.85 1749.14
1300.78 1749.23
1297.56 1749.85
1296.5 1745.8
1301.19 1748
1296.86 1749.05
1301.1 1747.59
1297.31 1749.66
1296.62 1744.99
1301.15 1746.4
1300.95 1744.98
1300.91 1748.39
1301.27 1747.54
1300.94 1748.97
1296.71 1744.91
1298.67 1750.12
1301.15 1745.35
1296.41 1746.42
1300.2 1749.44
1296.45 1748.29
1296.4 1747.72
1300.89 1745.18
1296.78 1748.83
1296.45 1748.25
1301.09 1746.5
1301.29 1745.69
1298.34 1749.98
1300.78 1749.09
1299.82 1749.77
1296.46 1748.12
1296.68 1744.99
1297.64 1749.64
1296.82 1745.01
1296.6 1747.48
1297.36 1749.68
1297.18 1749.57
1296.6 1746.43
1301.14 1748.35
1300.91 1749.03
1301.06 1748.52
1297.71 1749.88
1296.56 1746.3
1301.22 1746
1297 1749.38
1301.04 1747.14
1299.88 1749.98
1301.2 1746.57
1296.76 1749.08
1300.16 1749.49
1301.01 1747.12
1301.16 1746.06
1301.21 1746.31
1301.27 1747.08
1301.14 1748.23
1296.63 1746.21
1300.28 1749.44
1296.49 1748.3
1296.69 1745.5
1300.97 1748.09
1300.57 1749.47
1297.8 1749.66
1296.63 1745.8
1298.41 1749.91
1300.95 1745.23
1298.16 1750.01
1296.68 1746.03
1296.49 1746.75
1300.67 1749.04
1300.99 1747.69
1301.04 1747.34
1301.28 1746.05
1297.43 1749.77
1300.84 1749.04
1298.65 1749.97
1301.15 1745.66
1301.18 1745.09
1301.09 1745.33
1300.04 1749.88
1301.11 1745.76
1301.02 1745.77
1296.41 1747.13
1296.98 1748.89
1300.96 1745.13
1301.13 1744.97
1296.48 1746.73
1298.29 1749.95
1296.54 1744.97
1301.04 1748.4
1296.49 1748.16
1296.74 1749.01
1300.99 1747.82
1301.22 1745.12
1301.04 1748.38
1297.93 1749.85
1300.32 1749.55
1297.51 1749.57
1299.01 1750.14
1299.35 1750.16
1298.42 1749.88
1296.6 1746.41
1301 1747.24
1296.76 1745.06
1296.64 1748.83
1301.1 1746.41
1298.26 1750.02
1299.93 1749.63
1300.74 1749.06
1297.41 1749.49
1296.69 1745.89
1300.85 1749.1
1301.13 1747.39
1298.76 1750.14
1299.24 1750.1
1296.54 1745.05
1298.7 1750.07
1301.01 1746.96
1301.12 1747.01
1300.51 1749.24
1296.7 1745.74
1301.04 1745.51
1301.22 1745.21
1297.36 1749.38
1301.2 1745.47
1298.66 1750.11
1301.13 1748.26
1298.78 1750.17
1300.37 1749.37
1298.23 1750.07
1296.4 1747.74
1301.14 1745.27
1296.67 1747.3
1301.03 1745.81
1300.33 1749.68
1298.01 1749.84
1300.84 1748.98
1296.66 1747.53
1296.42 1745.84
1298.97 1749.92
1297.77 1749.83
1299.74 1750.04
1297.99 1749.84
1300.66 1749.38
1296.69 1746.56
1301.18 1746.65
1301.18 1747.86
1296.4 1747.13
1300.96 1748.13
1300.99 1745.13
1300.99 1748.88
1301.18 1745.23
1296.43 1744.99
1301.26 1747.75
1299.1 1749.91
1299.19 1749.92
1296.81 1748.74
1296.81 1748.87
1300.81 1748.64
1301.12 1745.72
1296.43 1747.31
1301.16 1748.46
1301.19 1747.86
