x y z state
1295.56 870.403 1746.24 1
1295.58 870.385 1746.28 1
1297.89 885.478 1749.78 1
1297.93 885.456 1749.8 1
1299.56 879.01 1749.8 1
1301.22 887.086 1747.71 1
1295.83 895.211 1747.07 1
1296.05 872.308 1745.86 1
1296.15 876.452 1746.54 1
1295.83 868.392 1748.3 1
1295.78 871.232 1745.49 1
1296.15 891.886 1748.42 1
1296.15 891.836 1748.42 1
1295.8 872.227 1745.33 1
1296.39 880.533 1747.42 1
1295.93 873.744 1745.58 1
1300.99 877.889 1746.2 1
1300.99 877.933 1746.21 1
1296.31 878.556 1746.76 1
1296.32 875.326 1745.6 1
1296.45 884.309 1747.46 1
1298.92 861.584 1745.34 1
1300.96 886.695 1747.77 1
1300.97 886.761 1747.79 1
1295.5 869.755 1746.24 1
1301.06 878.649 1748.04 1
1295.76 871.836 1745.97 1
1295.79 871.799 1746.01 1
1296.44 884.361 1747.34 1
1296.42 884.341 1747.37 2
1295.81 895.286 1747.02 1
1295.65 870.713 1745.41 1
1296.08 875.157 1745.59 1
1296.09 875.133 1745.63 1
1301.03 878.478 1746.38 1
1295.85 872.309 1745.42 1
1295.84 872.351 1745.46 1
1295.88 872.367 1745.44 1
1295.86 872.377 1745.38 1
1295.89 873.136 1746.92 1
1295.92 873.099 1746.86 1
1295.88 873.115 1746.87 1
1295.95 873.106 1746.89 1
1296.06 872.673 1747.21 1
1300.69 894.846 1748.38 1
1295.64 869.027 1748.25 1
1295.66 868.995 1748.29 1
1295.25 868.058 1745.56 1
1296.45 884.472 1747.02 1
1298.7 861.109 1745.45 1
1296.05 873.164 1745.52 1
1295.5 869.585 1745.99 1
1296.02 872.577 1747.05 1
1300.87 877.439 1745.31 1
1300.87 877.405 1745.33 1
1295.7 871.048 1746.06 1
1296.11 875.439 1745.76 1
1300.97 879.498 1745.86 1
1295.58 870.452 1746.33 1
1295.59 870.489 1746.32 1
1294.69 864.804 1745.41 1
1301.19 879.732 1745.38 1
1301.22 879.747 1745.35 1
1299.34 863.461 1745.5 1
1299.35 863.505 1745.48 1
1294.74 865.211 1745.45 1
1294.77 865.224 1745.43 1
1294.77 865.231 1745.47 1
1296.03 872.564 1746.71 1
1296.08 892.169 1748.25 1
1296.09 892.111 1748.2 1
1295.56 868.688 1747.81 1
1295.4 868.428 1746.03 1
1301.15 879.072 1745.42 1
1301.12 879.051 1745.37 1
1301.15 879.08 1745.38 1
1296.13 876.167 1747.33 1
1296.13 876.124 1747.29 1
1301.04 877.719 1745.49 1
1301.02 877.518 1745.99 1
1298.94 862.195 1745.4 1
1296.31 891.839 1748.14 1
1296.3 891.833 1748.09 1
1301.06 887.895 1747.63 1
1295.52 868.31 1746.13 1
1295.5 868.335 1746.11 1
1298.79 860.696 1746.06 1
1298.8 860.722 1745.98 1
1299.99 867.324 1745.72 1
1301.03 886.962 1748.22 1
1294.74 865.034 1745.39 1
1296.02 874.707 1745.97 1
1295.39 869.031 1745.48 1
1298.26 891.472 1750.43 1
1296.31 875.912 1745.85 1
1300.92 876.919 1745.34 1
1298.99 861.601 1745.52 1
1298.98 861.649 1745.57 1
1299 861.65 1745.53 1
1295.78 870.408 1745.35 1
1295.76 870.391 1745.3 1
1296.23 876.278 1746.09 1
1298.74 860.558 1745.55 1
1301.12 887.979 1747.57 1
1295.37 868.354 1747.9 1
1298.77 860.616 1746.05 1
1295.87 872.486 1745.32 1
1300.81 876.741 1748.02 1
1300.78 876.683 1748.03 1
1295.72 870.368 1745.42 1
1295.88 873.053 1746.95 1
1295.96 873.902 1745.96 1
1295.32 868.57 1745.41 1
1295.3 868.55 1745.35 1
1300.86 892.037 1747.76 1
1300.84 891.956 1747.75 1
1300.85 891.996 1747.71 1
1299.4 904.002 1746.45 1
1299.44 903.988 1746.47 1
1295.67 869.326 1745.53 1
1301.23 887.005 1747.54 1
1296.13 874.2 1746.61 1
1296.25 876.266 1747.25 1
1296.2 876.214 1747.26 2
1296.2 876.235 1747.31 1
1296.21 876.261 1747.24 1
1295.89 895.707 1747.12 1
1299.51 864.249 1745.52 1
1296.05 873.59 1746.07 1
1296.18 876.187 1746.01 1
1296.2 876.16 1746.03 1
1296.17 876.176 1746.04 1
