x z r
1296.58 1748.15 0.76888
1299.68 1750.01 3.66996
1298.18 1750.02 2.78432
1296.54 1747.04 0.651672
1301.3 1745.11 4.91755
1297.44 1749.77 2.30698
1301.11 1745.21 4.70422
1301.16 1745.41 4.65941
1297.75 1749.95 2.56249
1301.09 1747.88 4.10522
1300.51 1749.53 4.05554
1301.15 1746.86 4.20174
1300.95 1748.63 4.10439
1296.44 1746.84 0.865817
1300.66 1749.06 3.97832
1301.25 1745.97 4.51193
1298.18 1749.82 2.60838
1296.81 1749.02 1.52743
1299.02 1750.12 3.30482
1300.47 1749.29 3.9092
1296.7 1748.42 0.968661
1300.1 1749.74 3.82243
1298.62 1750.03 3.00236
1296.66 1748.87 1.41519
1297.46 1749.69 2.23554
1297.84 1749.71 2.36699
1300.38 1749.49 3.92168
1300.2 1749.66 3.8595
1296.6 1746.15 1.41281
1297.14 1749.21 1.71371
1296.5 1744.91 2.63987
1296.45 1744.99 2.56889
1300.93 1748.52 4.06477
1300.48 1749.37 3.94719
1296.92 1748.84 1.34702
1300.49 1749.26 3.91089
1296.69 1744.93 2.59327
1301.21 1745.45 4.68331
1299.11 1750.19 3.41576
1296.65 1747.23 0.441154
1300.66 1749.28 4.07104
1296.67 1747.18 0.45984
1301.3 1744.96 4.99149
1296.42 1748 0.764722
1301.18 1747.69 4.18853
1296.55 1748.41 1.01767
1296.93 1748.82 1.32313
1296.85 1749.04 1.55014
1299.81 1750 3.75975
1301.06 1747.84 4.07377
1296.4 1747.56 0.602924
1296.56 1745.77 1.7829
1299.38 1750.02 3.46744
1301.28 1746.39 4.41791
1301.26 1745.38 4.75597
1296.46 1747.37 0.551697
1300.52 1749.33 3.96748
1301.12 1746.95 4.15889
1297.83 1749.92 2.56122
1298.55 1750.15 3.06873
1297.9 1749.93 2.59358
1297.51 1749.48 2.04225
1298.87 1750.19 3.2794
1301.22 1745.85 4.53085
1300.29 1749.58 3.89683
1300.94 1748.24 4.00881
1301.26 1747.95 4.28307
1301.26 1747.38 4.26558
1296.89 1748.9 1.405
1299.88 1749.69 3.61716
1296.55 1745.47 2.08182
1300.99 1748.31 4.0743
1296.86 1748.82 1.32274
1298.33 1750.18 2.98588
1298.24 1750.06 2.84145
1299.28 1750.15 3.49709
1297.86 1749.78 2.43925
1296.96 1749.03 1.52637
1299.16 1749.99 3.29641
1297.65 1749.78 2.37516
1296.68 1748.31 0.873586
1301.16 1747.8 4.1752
1301.21 1747.55 4.20663
1296.54 1745.43 2.12418
1301.26 1747.66 4.26728
1296.77 1748.61 1.13103
1300.95 1748.69 4.12209
1301.03 1745.95 4.32038
1301.23 1746.34 4.38924
1301.14 1748.09 4.18374
1301.23 1745.23 4.79566
1301.01 1746.33 4.17557
1299.67 1749.9 3.58964
1301.08 1746.05 4.33125
1299.54 1749.99 3.55464
1298.32 1750.06 2.88161
1300.9 1748.41 4.00492
1300.89 1744.97 4.64017
1296.39 1747.84 0.696739
1297.77 1749.95 2.57068
1301.17 1746.18 4.3764
1300.94 1748.83 4.15879
1299.77 1749.94 3.69006
1298.3 1749.89 2.72114
1299.59 1750.1 3.66617
1300.84 1749.04 4.13963
1298.83 1750.17 3.23867
1301.2 1747.22 4.20954
1297.7 1749.73 2.3406
1297.66 1749.61 2.21269
1300.95 1748.55 4.09099
1301.2 1745.34 4.72704
1300.23 1749.42 3.75391
1297.37 1749.57 2.10703
1296.59 1748.7 1.26514
1296.63 1747.02 0.607876
1296.6 1747.27 0.459474
1301.01 1746.42 4.15544
1301.14 1746.01 4.39576
1301.26 1747.6 4.26265
1299.78 1749.95 3.70035
1299.2 1749.99 3.32301
1296.48 1748.38 1.02563
1297.59 1749.66 2.23864
1300.28 1749.71 3.95138
1299.68 1749.93 3.6185
1300.96 1748.95 4.21157
1301 1748.34 4.0876
1301.15 1746.44 4.28555
1300.1 1749.52 3.69997
1296.69 1748.39 0.93768
1301.05 1748.09 4.09589
1296.45 1748.27 0.944854
1300.45 1749.51 3.9975
1297.75 1749.65 2.28014
1298.29 1750.14 2.93981
1297.26 1749.26 1.78335
1298.61 1750.18 3.12731
1297.21 1749.58 2.0931
1301.02 1746.74 4.09385
1296.6 1747.34 0.42493
1301.14 1748.53 4.26275
1301.1 1746.21 4.29598
