x y z
1300.75 893.183 1748.95
1300.74 893.033 1748.99
1300.71 893.634 1748.96
1300.7 893.483 1749.01
1300.67 894.084 1748.98
1300.66 893.934 1749.03
1300.62 894.535 1749
1300.62 894.384 1749.04
1300.58 894.985 1749.01
1300.57 894.835 1749.06
1300.53 895.435 1749.03
1300.53 895.285 1749.08
1300.48 895.886 1749.05
1300.48 895.736 1749.1
1300.43 896.336 1749.07
1300.43 896.186 1749.11
1300.37 896.637 1749.13
1301.08 885.075 1748.8
1301.06 884.925 1748.84
1301.07 885.526 1748.81
1301.05 885.375 1748.86
1301.06 885.976 1748.83
1301.04 885.826 1748.87
1301.06 886.426 1748.85
1301.03 886.276 1748.89
1301.04 886.877 1748.86
1301.02 886.727 1748.91
1301.03 887.327 1748.88
1301.01 887.177 1748.93
1301.01 887.778 1748.9
1301 887.628 1748.94
1301 888.228 1748.91
1300.98 888.078 1748.96
1300.98 888.679 1748.93
1300.96 888.529 1748.98
1300.96 889.129 1748.95
1300.94 888.979 1748.99
1300.93 889.58 1748.96
1300.92 889.429 1749.01
1300.91 890.03 1748.98
1300.89 889.88 1749.03
1300.88 890.48 1749
1300.87 890.33 1749.04
1300.85 890.931 1749.02
1300.84 890.781 1749.06
1300.82 891.381 1749.03
1300.81 891.231 1749.08
1300.79 891.832 1749.05
1300.78 891.682 1749.09
1300.76 892.282 1749.07
1300.74 892.132 1749.11
1300.72 892.733 1749.08
1300.71 892.583 1749.13
1300.68 893.183 1749.1
1300.67 893.033 1749.15
1300.64 893.634 1749.12
1300.63 893.483 1749.16
1300.6 894.084 1749.13
1300.59 893.934 1749.18
1300.56 894.535 1749.15
1300.55 894.384 1749.2
1300.51 894.985 1749.17
1300.5 894.835 1749.21
1300.47 895.435 1749.19
1300.46 895.285 1749.23
1300.42 895.886 1749.2
1300.41 895.736 1749.25
1300.36 896.336 1749.22
1300.36 896.186 1749.27
1300.31 896.787 1749.24
1300.31 896.637 1749.28
1300.25 897.087 1749.3
1301.01 885.075 1748.95
1300.98 884.925 1748.99
1301 885.526 1748.96
1300.97 885.375 1749.01
1300.99 885.976 1748.98
1300.97 885.826 1749.02
1300.98 886.426 1749
1300.96 886.276 1749.04
1300.97 886.877 1749.01
1300.95 886.727 1749.06
1300.96 887.327 1749.03
1300.93 887.177 1749.07
1300.94 887.778 1749.05
1300.92 887.628 1749.09
1300.92 888.228 1749.06
1300.9 888.078 1749.11
1300.9 888.679 1749.08
1300.88 888.529 1749.12
1300.88 889.129 1749.1
1300.86 888.979 1749.14
1300.86 889.58 1749.11
1300.84 889.429 1749.16
1300.83 890.03 1749.13
1300.82 889.88 1749.17
1300.81 890.48 1749.15
1300.79 890.33 1749.19
1300.78 890.931 1749.17
1300.76 890.781 1749.21
1300.75 891.381 1749.18
1300.73 891.231 1749.23
1300.72 891.832 1749.2
1300.7 891.682 1749.24
1300.68 892.282 1749.22
1300.67 892.132 1749.26
1300.65 892.733 1749.23
1300.63 892.583 1749.28
1300.61 893.183 1749.25
1300.59 893.033 1749.29
1300.57 893.634 1749.27
1300.55 893.483 1749.31
1300.53 894.084 1749.28
1300.51 893.934 1749.33
1300.48 894.535 1749.3
1300.47 894.384 1749.34
1300.44 894.985 1749.32
1300.43 894.835 1749.36
1300.39 895.435 1749.34
1300.38 895.285 1749.38
1300.34 895.886 1749.35
1300.33 895.736 1749.4
