x z pbsig pbstate
1296.68 1748.87 1315.89 3
1301.1 1746.25 38.4204 3
1301.09 1746.25 -205.286 3
1301.13 1746.23 523.795 3
1296.68 1746.09 31.8639 3
1296.68 1746.03 -60.6345 3
1296.64 1746.05 -126.144 3
1297.14 1749.28 -76.3713 3
1297.16 1749.31 102.492 3
1297.16 1749.31 167.055 3
1297.18 1749.26 -10.2448 3
1297.13 1749.29 -111.511 3
1296.62 1748.76 54.6203 3
1298.58 1749.94 -270.216 3
1298.6 1749.91 43.2132 3
1297.25 1749.43 44.2974 3
1298.52 1750.02 -71.0144 3
1298.52 1749.98 10.7618 3
1298.54 1749.95 -494.261 3
1298.55 1749.96 -197.132 3
1301.26 1745.7 117.902 3
1301.26 1745.68 -482.097 3
1301.02 1746.62 -78.7748 3
1301.02 1746.65 130.044 3
1301.08 1746.74 -298.71 3
1301.09 1746.78 568.485 3
1301.03 1746.72 176.697 3
1296.44 1746.89 781.72 3
1296.44 1746.91 216.485 3
1300.41 1749.24 138.957 3
1300.4 1749.26 240.818 3
1300.43 1749.23 420.585 3
1296.58 1748.11 694.427 3
1296.55 1748.1 807.683 3
1296.56 1748.14 26.5889 3
1296.58 1748.17 -224.96 3
1296.52 1748.14 29.8912 3
1296.53 1748.11 -292.382 3
1298.25 1750.02 -38.9751 3
1296.67 1747.01 34.8406 3
1296.67 1746.97 20.495 3
1297.13 1749.5 162.27 3
1300.97 1748.06 53.6303 3
1300.99 1748.09 535.681 3
1301.23 1747.35 1648.19 3
1301.25 1747.33 2224.72 3
1296.85 1749 -178.861 3
1296.88 1748.97 309.7 3
1296.91 1748.98 7.31737 3
1296.88 1749.03 259.67 3
1299.14 1750.18 47.3977 3
1299.16 1750.16 604.247 3
1300.73 1748.8 317.267 3
1300.75 1748.86 -149.897 3
1300.75 1748.84 -80.9083 3
1300.73 1748.88 155.78 3
1301.27 1747.32 230.421 3
1301.25 1747.28 2684.31 3
1301.23 1747.31 948.558 3
1296.48 1747.66 829.128 3
1296.53 1747.65 -9.39024 3
1296.52 1747.68 -237.857 3
1296.54 1747.66 -229.767 3
1296.95 1749.25 601.998 3
1296.94 1749.3 52.7211 3
1296.95 1749.29 -295.189 3
1296.92 1749.24 2334.96 3
1301.05 1746.79 90.482 3
